"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0071478","BP","GO:0071478","cellular response to radiation","11/611","62/18057",6.44357218572057e-06,0.000360087345625834,0.000324499874454485,"30435/436716/791894/101882119/557053/541319/393820/30582/30503/360151/30295",11
"GO:0003009","BP","GO:0003009","skeletal muscle contraction","8/611","31/18057",6.49977158169375e-06,0.000360087345625834,0.000324499874454485,"751665/100002038/492493/402809/556258/558627/436902/445029",8
"GO:0009416","BP","GO:0009416","response to light stimulus","17/611","143/18057",6.97130859517897e-06,0.000375482426834778,0.00033837345812857,"30435/436716/791894/101882119/557053/541319/100037369/83780/393820/100006361/30582/550406/30503/360151/140428/569398/30295",17
"GO:0009117","BP","GO:0009117","nucleotide metabolic process","28/611","336/18057",1.16056796670173e-05,0.000592783022179285,0.000534198212218785,"406599/450052/794259/335716/368242/792692/558601/560753/563937/556651/114551/431724/562627/30084/559659/393629/335709/570244/100000855/447919/402883/326977/393668/798291/553804/570547/571967/570370",28
"GO:0006164","BP","GO:0006164","purine nucleotide biosynthetic process","18/611","164/18057",1.16172020849989e-05,0.000592783022179285,0.000534198212218785,"406599/794259/335716/368242/563937/431724/30084/559659/393629/335709/570244/100000855/447919/402883/326977/798291/571967/570370",18
"GO:0050879","BP","GO:0050879","multicellular organismal movement","8/611","34/18057",1.36766437673541e-05,0.000662975306622492,0.000597453385626523,"751665/100002038/492493/402809/556258/558627/436902/445029",8
"GO:0050881","BP","GO:0050881","musculoskeletal movement","8/611","34/18057",1.36766437673541e-05,0.000662975306622492,0.000597453385626523,"751665/100002038/492493/402809/556258/558627/436902/445029",8
"GO:0046034","BP","GO:0046034","ATP metabolic process","12/611","81/18057",1.6948735212408e-05,0.000785733896158279,0.000708079730529977,"406599/792692/560753/114551/559659/335709/100000855/402883/326977/393668/798291/570370",12
"GO:0006000","BP","GO:0006000","fructose metabolic process","5/611","11/18057",1.70195067759916e-05,0.000785733896158279,0.000708079730529977,"436909/327453/554477/445505/386663",5
"GO:0032787","BP","GO:0032787","monocarboxylic acid metabolic process","25/611","289/18057",1.80846721940636e-05,0.000811516114431383,0.000731313889392848,"573619/450052/406605/493602/794259/368242/564844/792692/560753/768196/114551/394148/79378/406283/336430/553216/678614/393147/334208/327417/393668/378727/569398/100005717/751596",25
"GO:0017004","BP","GO:0017004","cytochrome complex assembly","7/611","26/18057",1.84150123955548e-05,0.000811516114431383,0.000731313889392848,"100002948/100141351/436985/415159/100190888/796572/100330558",7
"GO:0006753","BP","GO:0006753","nucleoside phosphate metabolic process","28/611","348/18057",2.20845853105829e-05,0.00092106690996924,0.000830037768002463,"406599/450052/794259/335716/368242/792692/558601/560753/563937/556651/114551/431724/562627/30084/559659/393629/335709/570244/100000855/447919/402883/326977/393668/798291/553804/570547/571967/570370",28
"GO:0007601","BP","GO:0007601","visual perception","18/611","172/18057",2.2326015868259e-05,0.00092106690996924,0.000830037768002463,"30435/436716/393845/58085/559209/373871/100037369/386614/393629/541429/30582/393758/30503/360151/101886622/30295/100126132/561929",18
"GO:0072522","BP","GO:0072522","purine-containing compound biosynthetic process","18/611","172/18057",2.2326015868259e-05,0.00092106690996924,0.000830037768002463,"406599/794259/335716/368242/563937/431724/30084/559659/393629/335709/570244/100000855/447919/402883/326977/798291/571967/570370",18
"GO:0009165","BP","GO:0009165","nucleotide biosynthetic process","19/611","192/18057",2.93114694119736e-05,0.00118406123312119,0.00106704033385694,"406599/794259/335716/368242/563937/431724/30084/559659/393629/335709/570244/100000855/447919/402883/326977/798291/570547/571967/570370",19
"GO:0009314","BP","GO:0009314","response to radiation","18/611","176/18057",3.04464668444636e-05,0.00120481018798806,0.0010857386672784,"393759/30435/436716/791894/101882119/557053/541319/100037369/83780/393820/100006361/30582/550406/30503/360151/140428/569398/30295",18
"GO:0050953","BP","GO:0050953","sensory perception of light stimulus","18/611","178/18057",3.54174779128089e-05,0.00137348979345873,0.00123774764916343,"30435/436716/393845/58085/559209/373871/100037369/386614/393629/541429/30582/393758/30503/360151/101886622/30295/100126132/561929",18
"GO:0006123","BP","GO:0006123","mitochondrial electron transport, cytochrome c to oxygen","5/611","13/18057",4.48091590151866e-05,0.00167232446216469,0.00150704845535864,"751638/326962/447942/336118/494577",5
"GO:1901293","BP","GO:1901293","nucleoside phosphate biosynthetic process","19/611","198/18057",4.48483094546488e-05,0.00167232446216469,0.00150704845535864,"406599/794259/335716/368242/563937/431724/30084/559659/393629/335709/570244/100000855/447919/402883/326977/798291/570547/571967/570370",19
"GO:0006775","BP","GO:0006775","fat-soluble vitamin metabolic process","6/611","21/18057",5.14578081706066e-05,0.00188257905741144,0.00169652356630004,"100004700/563369/565876/402831/723999/322341",6
"GO:0033108","BP","GO:0033108","mitochondrial respiratory chain complex assembly","9/611","52/18057",5.49170464764863e-05,0.00197192876144272,0.00177704282945355,"100002948/796997/100141351/436985/415159/100190888/796572/569482/100330558",9
"GO:0044282","BP","GO:0044282","small molecule catabolic process","20/611","219/18057",5.76284886465484e-05,0.0020316661724665,0.00183087638570852,"450052/402979/436664/322614/368242/402939/558601/560753/394148/406283/556445/393147/557735/334208/100004700/378727/436852/100005717/445287/571967",20
"GO:0009150","BP","GO:0009150","purine ribonucleotide metabolic process","21/611","237/18057",5.89238520489692e-05,0.00204023837719556,0.00183860139852047,"406599/450052/794259/335716/792692/558601/560753/563937/114551/431724/30084/559659/335709/570244/100000855/402883/326977/393668/798291/553804/570370",21
"GO:0009259","BP","GO:0009259","ribonucleotide metabolic process","22/611","256/18057",6.26831708238157e-05,0.00213232751276103,0.00192158935489444,"406599/450052/794259/335716/792692/558601/560753/563937/114551/431724/30084/559659/335709/570244/100000855/402883/326977/393668/798291/553804/570547/570370",22
"GO:0050905","BP","GO:0050905","neuromuscular process","9/611","53/18057",6.41895876173989e-05,0.00214592431707132,0.00193384238556955,"751665/100002038/564412/492493/402809/556258/558627/436902/445029",9
"GO:0019693","BP","GO:0019693","ribose phosphate metabolic process","22/611","262/18057",8.83060969944477e-05,0.00290212749274973,0.00261530991990693,"406599/450052/794259/335716/792692/558601/560753/563937/114551/431724/30084/559659/335709/570244/100000855/402883/326977/393668/798291/553804/570547/570370",22
"GO:0033617","BP","GO:0033617","mitochondrial cytochrome c oxidase assembly","5/611","15/18057",9.88251115391817e-05,0.00319369818790789,0.00287806465184284,"100141351/436985/415159/796572/100330558",5
"GO:0008535","BP","GO:0008535","respiratory chain complex IV assembly","5/611","16/18057",0.000139756436070809,0.00444242179575899,0.00400337677096709,"100141351/436985/415159/796572/100330558",5
"GO:0007602","BP","GO:0007602","phototransduction","8/611","47/18057",0.000160817421213765,0.00502943515699177,0.00453237553845245,"30435/436716/101882119/557053/30582/30503/360151/30295",8
"GO:0007218","BP","GO:0007218","neuropeptide signaling pathway","10/611","75/18057",0.000209051265472611,0.00632937144473222,0.00570383898279389,"368264/793458/30281/555634/368228/394236/563766/100006361/100216485/259257",10
"GO:1902652","BP","GO:1902652","secondary alcohol metabolic process","10/611","75/18057",0.000209051265472611,0.00632937144473222,0.00570383898279389,"445281/447848/394148/436600/563363/563369/565876/402831/723999/322341",10
"GO:0009152","BP","GO:0009152","purine ribonucleotide biosynthetic process","14/611","136/18057",0.000212175938064773,0.00632937144473222,0.00570383898279389,"406599/794259/335716/563937/431724/30084/559659/335709/570244/100000855/402883/326977/798291/570370",14
"GO:0009308","BP","GO:0009308","amine metabolic process","8/611","49/18057",0.000217336791073566,0.00635305103474209,0.00572517831637137,"368242/556522/555401/541429/431716/790945/368270/571967",8
"GO:0009260","BP","GO:0009260","ribonucleotide biosynthetic process","15/611","153/18057",0.000219522650504239,0.00635305103474209,0.00572517831637137,"406599/794259/335716/563937/431724/30084/559659/335709/570244/100000855/402883/326977/798291/570547/570370",15
"GO:0016042","BP","GO:0016042","lipid catabolic process","17/611","189/18057",0.000243539653039672,0.00694446157711652,0.00625813969111231,"436973/450052/493602/557756/751622/394148/406283/565117/322481/393147/407639/436610/84041/100004700/378727/569398/100005717",17
"GO:0016125","BP","GO:0016125","sterol metabolic process","10/611","77/18057",0.000260426164039644,0.00731835263873723,0.0065950790588224,"445281/447848/394148/436600/751641/563363/565876/402831/723999/322341",10
"GO:0046390","BP","GO:0046390","ribose phosphate biosynthetic process","15/611","157/18057",0.000291019601519804,0.00806124296209857,0.00726454945147179,"406599/794259/335716/563937/431724/30084/559659/335709/570244/100000855/402883/326977/798291/570547/570370",15
"GO:0006081","BP","GO:0006081","cellular aldehyde metabolic process","7/611","40/18057",0.000346013164027452,0.00944957077534127,0.008515668677325,"402939/564844/560753/79378/84041/378440/322529",7
"GO:0044242","BP","GO:0044242","cellular lipid catabolic process","13/611","129/18057",0.000434687136200244,0.011706366070726,0.0105494246504738,"450052/493602/557756/751622/406283/565117/322481/393147/436610/84041/378727/569398/100005717",13
"GO:0006941","BP","GO:0006941","striated muscle contraction","9/611","68/18057",0.000455137472008666,0.012089199427737,0.0108944225455571,"751665/100002038/492493/402809/556258/558627/436902/100331199/445029",9
"GO:0008203","BP","GO:0008203","cholesterol metabolic process","9/611","69/18057",0.00050798384005783,0.0133105495388126,0.0119950664935419,"445281/447848/394148/436600/563363/565876/402831/723999/322341",9
"GO:0034308","BP","GO:0034308","primary alcohol metabolic process","6/611","31/18057",0.000523479409332682,0.0135336876626143,0.0121961518525228,"393761/550422/449556/563363/378440/322529",6
"GO:0007600","BP","GO:0007600","sensory perception","27/611","402/18057",0.000594667338817245,0.0151718417100873,0.013672406958956,"30435/436716/393845/58085/559209/795653/100332873/574006/373871/100037369/368228/386614/394236/393629/100535618/564412/541429/30582/436636/393758/30503/360151/101886622/557722/30295/100126132/561929",27
